*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=mcp23017_board
*Date=22:45:38
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
104;;;5.4864;-27.7435;0;Bottom;Copper Fill93
105;;;43.5356;-42.9835;0;Bottom;Copper Fill76
106;220;THT;11.472;-35.3;0;Bottom;R15
107;220;THT;44.492;-30.22;0;Bottom;R5
108;;;48.6664;-30.2835;0;Bottom;Copper Fill38
109;;;34.2138;-18.79;0;Bottom;Copper Fill64
110;;;21.7678;-36.57;0;Bottom;Copper Fill49
111;;;5.4864;-32.8235;0;Bottom;Copper Fill89
112;;;7.1882;-30.2835;0;Bottom;Copper Fill21
113;;;34.2138;-21.33;0;Bottom;Copper Fill62
114;;;5.4864;-25.2035;0;Bottom;Copper Fill95
115;;;40.9956;-4.8835;0;Bottom;Copper Fill80
116;;;50.3682;-37.9035;0;Bottom;Copper Fill33
117;;THT;19.092;-21.33;0;Bottom;J1
118;;;7.1882;-27.7435;0;Bottom;Copper Fill23
119;;;34.2138;-31.49;0;Bottom;Copper Fill54
120;;;50.3682;-30.2835;0;Bottom;Copper Fill39
121;;;49.5173;-19.2726;0;Bottom;Copper Fill110
122;;;50.3682;-27.7435;0;Bottom;Copper Fill107
123;;;5.4864;-35.3635;0;Bottom;Copper Fill16
124;;THT;36.872;-21.33;0;Bottom;J2
125;;;48.6664;-27.7435;0;Bottom;Copper Fill40
126;;;40.9956;-9.9635;0;Bottom;Copper Fill11
127;;;21.7678;-16.25;0;Bottom;Copper Fill65
128;;THT;45.762;-42.92;90;Bottom;POWER
129;;;49.5173;-38.7544;0;Bottom;Copper Fill31
130;;;41.8973;-4.0072;0;Bottom;Copper Fill7
131;;;6.3373;-38.7544;0;Bottom;Copper Fill84
132;;;34.2138;-36.57;0;Bottom;Copper Fill50
133;;;50.3682;-25.2035;0;Bottom;Copper Fill43
134;;;27.4828;-24.0224;0;Bottom;Copper Fill69
135;;;50.3682;-20.1235;0;Bottom;Copper Fill111
136;;;40.9956;-9.9635;0;Bottom;Copper Fill82
137;220;THT;44.492;-20.06;0;Bottom;R1
